Company Name,Primary NAICS Description,D-U-N-S@ Number,Web Address (URL),Industry,tier,concrete restoration,epoxy coatings,floor coatings,floor demo,floor demolition,floor maintenance,flooring maintenance,floor restoration,flooring restoration,surface preparation,concrete AND flooring,concrete AND surfacing,concrete AND restoration,concrete AND coating,concrete AND construction,concrete AND polishing,concrete AND painting,concrete AND demolition,concrete AND epoxy,flooring,surfacing,coating,construction,polishing,painting,demolition,epoxy
1ST CHOICE ROOFING COMPANY,Roofing Contractors,11-703-8700,WWW.1STCHOICEROOFING.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOWN 1ST SPORTS INC,"All Other Professional, Scientific, and Technical Services",01-233-9804,WWW.1STDOWNSHOP.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THOMPSON & BENDER, INC",Residential Remodelers,16-328-7733,WWW.1STINSPECTOR.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIRST METROPOLITAN BUILDERS OF AMERICA, INC",Residential Remodelers,11-308-7027,WWW.1STMETROPOLITANBUILDERS.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1ST NATIONAL ROOFING, LLC",Roofing Contractors,02-047-6134,WWW.1STNATIONALROOFING.NET,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1ST-NET, INC.",Furniture Merchant Wholesalers,09-203-9135,WWW.1STNETINC.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESICION EDGE INC,Service Establishment Equipment and Supplies Merchant Wholesalers,36-322-1144,WWW.1STOPSALON.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIRST QUARTILE CONSULTING LLC,Other Management Consulting Services,07-938-0162,WWW.1STQUARTILECONSULTING.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1ST SERVICE SOLUTIONS, INC.",Other Management Consulting Services,01-920-5143,WWW.1STSSS.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIRST TEAM CONSTRUCTION, INC.",Residential Remodelers,19-259-8550,WWW.1STTEAMCONSTRUCTION.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ONE TIME CONSTRUCTION, INC.",Residential Remodelers,04-348-8273,WWW.1TIMECONSTRUCTION.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROSENTIAL BROKER ALLIANCE LLC,Other Management Consulting Services,11-370-9645,WWW.2017CORP2.PROSENTIALGROUP.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 20 HOUSING SOLUTIONS INC,Other Management Consulting Services,02-457-6245,WWW.2020HSI.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20/20 FINANCIAL CONSULTING, INC.",Other Management Consulting Services,04-670-0329,WWW.2020TAXRESOLUTION.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21ST CENTURY HOME IMPROVEMENT PAINTING & ROOFING INC,Residential Remodelers,80-974-5326,WWW.21STCENTURYHOMEIMPROVEMENT.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24/7 BAILBONDS, LLC","All Other Professional, Scientific, and Technical Services",61-604-8760,WWW.247BAILBONDLLC.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO/FILE SYSTEMS INC,All Other Business Support Services,02-526-2289,WWW.24-7CHAIR.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TENPATH, LLC","All Other Professional, Scientific, and Technical Services",07-884-4434,WWW.247HEADHUNTING.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24 HOUR FIRE PROTECTION, INC.",Residential Remodelers,12-265-6726,WWW.24FIRE.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EAST-WEST ASSOCIATES, INC.","All Other Professional, Scientific, and Technical Services",01-527-2537,WWW.2EASTWEST.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATLINE CORPORATION,Service Establishment Equipment and Supplies Merchant Wholesalers,94-061-3727,WWW.2FLATLINE.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 KREW SECURITY & SURVEILLANCE DESIGNED BY OLWEBDESIGNCOM,"All Other Professional, Scientific, and Technical Services",04-636-8251,WWW.2KREW.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R.K. WITT AND ASSOCIATES, LTD.",Furniture Merchant Wholesalers,09-176-4753,WWW.2KWITT.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUDAL CORPORATION,Furniture Merchant Wholesalers,00-393-8693,WWW.2MOFFICESUPPLIES.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2NDEDISON, INC.",Other Management Consulting Services,10-567-3243,WWW.2NDEDISON.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ANTIQUE REPRODUCTIONS, INC",Furniture Merchant Wholesalers,01-765-4539,WWW.2NDS.BIZ,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ND STORY RENOVATIONS LLC,Residential Remodelers,06-647-9921,WWW.2NDSTORYRENOVATIONS.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2ND WATCH, INC.",Other Management Consulting Services,01-975-6157,WWW.2NDWATCH.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 PLACES AT 1 TIME, INC","All Other Professional, Scientific, and Technical Services",87-805-5672,WWW.2PLACESAT1TIME.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2POINT CONSTRUCTION COMPANY, LLC",New Single-Family Housing Construction (except For-Sale Builders),05-050-9584,WWW.2POINTCONSTRUCTION.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""2"" S. B.W. & ASSOCIATES INC.",New Single-Family Housing Construction (except For-Sale Builders),00-320-7136,WWW.2SBW.BUSINESS.SITE,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HOMEWORK AND DESIGN, INC.",Furniture Merchant Wholesalers,08-600-5551,WWW.2XHOME.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMERICAN PROFESSIONAL CHIMNEY MASONRY & HOME REPAIR SERVICE, INC.",Residential Remodelers,18-689-8078,WWW.301CHIMNEY.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35-45 CONSULTING GROUP, LLC",Other Management Consulting Services,05-016-2462,WWW.3545CONSULTING.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"360 CLOUD SOLUTIONS, LLC (FN)",Other Management Consulting Services,00-465-0561,WWW.360CLOUDSOLUTIONS.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"360 OFFICE SOLUTIONS, INC.",Furniture Merchant Wholesalers,00-623-0361,WWW.360-OS.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"360 SOLUTIONS, LLC",Other Management Consulting Services,07-041-9672,WWW.360SOLUTIONS.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360 SOLUTIONS LLC,Other Management Consulting Services,04-634-1058,WWW.360SOLUTIONS.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
